mp-753489 Li3V2OF7 Prediction: 1 Actual: tensor([0], device='cuda:0') 
mp-643412 Ni(SbO2)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-8041 Yb2V2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-754235 LiCr3P4O15 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-774332 Zn(NiO2)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-754642 Li3V(PO4)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-761401 Ni2P2(C2O3)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-762265 LiCoPO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1208167 Li2MnF5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-774340 NaV(PO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-867886 LaMnZnFeO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-18725 Na2FePCO7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-765646 Cr2(SiO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1176421 Li2TiMnO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1209837 MnPb2WO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-754513 KEr(MoO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-752576 CoCuH28(SO11)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-774575 Na2HoMoPO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1099611 Cs5Mo8P(H3O16)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-775153 Er2(WO4)3 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-556415 Mg30VCdO32 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-757415 Li2MnSi3O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-557341 Li3Ni(SbO3)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-17475 Li2CoNiO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-542317 Mg2Ta2VO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-561048 Li2TiCrO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-557549 Li9Mn2Co5O16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-715262 Ba2CoMoO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-757368 K2CrO4 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-753494 Mn5Zn4(TeO6)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1569717 Ni(XeF7)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-780118 KLaCr2O8 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1195788 CsVO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1195674 Na2CrO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-542693 LiCrO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-27511 Li3VO3F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-863398 Li6AlFeO6 Prediction: 0 Actual: tensor([1], device='cuda:0') 
mp-1078318 UHg(MoO4)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-558386 NaMnO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-510568 NaVSiO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-649195 Ni3OF5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1228250 KGaCoC4Cl3O4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1201848 LiCo(PO3)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-22100 Ba3NiSb2O9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-510408 Li2MnOF2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1178815 MnAlP2(HO)15 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-21880 MoSO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-755571 Gd3Y(FeO3)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-504578 Li2CrO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1211810 Li9Mn2Co5O16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-705042 La7SmTi2V6O24 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1193020 V2ZnPbO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-752704 La7V2BO17 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-17138 VGa(CuO2)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-765600 LiVF6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1205046 LiCoNiF6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1226454 Li2FeSnO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1195215 Na2MnO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1227182 CsMoP2HO9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-849333 Li2MnP2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-758552 BaNb2V2O11 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-744756 Na3CoPCO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1204008 LiSi2NiO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1209114 Li7Mn4CoO12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18492 Li2TiV2O6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1225084 Li4Ni(BO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1104967 UV2O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753249 Li2Ti3NiO8 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-777063 MnVO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-560414 LiMnP3(HO5)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-559172 LiCoSbO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-559772 Na5LiMn2P2(CO7)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-25402 SrEu(CoO3)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1228358 LiCoPO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-19386 LiV(PO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-27186 Li2TiNiO4 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1201562 Fe(SeO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1211736 Li4Fe5Cu3O16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1176999 Mn2NiO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1208589 MnO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1100630 Sr2FeWO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753866 LiMg30CoO32 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-758776 Na2FeSO4F3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1097718 Li2MnP2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1175104 Li2VO2F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-777450 CrBi12Mo4PbO34 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-23064 LiFeSiO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-778744 LiCoSnO4 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-767248 MgMn(GeO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1113888 LiCoP2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-760101 Na3NiBSO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756613 Na2CrFeF7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-849307 VP2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1177064 Li3Cr13Ni3(SO4)24 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-25845 LiMn2(BO3)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1221695 CrHg3(PbO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756947 Li2VFe3O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-643086 Na5Tb(WO4)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19079 V2Bi24O41 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-764236 Mn6O5F7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1221374 Ba3MnO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1207709 Li5Ni5O9F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-761608 Mn2As2O9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1176576 V2PbO6 Prediction: 1 Actual: tensor([0], device='cuda:0') 
mp-18835 LiNiAsO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1238416 K2MnV2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1277255 K2U2MoO10 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-560869 Sr2CrOsO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19097 K3V5O14 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1192111 KUVO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-30539 K2CoH12(SO7)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-562661 Na2NiPCO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1100931 MgCoP2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-28262 VBO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1096782 Li2MnO2F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-555930 TiCrSO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1084801 Sr2TaCrO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1313623 LiCoPO4 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1217800 LiMnPO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1218243 Li5VO3F2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-755235 Li3VCr3O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-754615 LiCoPO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1276363 VAgOF4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1180203 CsSm(MoO4)2 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-1177748 Cr(ClO)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-505405 LiMn(PO3)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1238424 Zn(FeO2)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-779311 MgVBiO5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1209133 Li8Co(O2F)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-542139 Na3LiV4O12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1204397 MoIrO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753252 CoH7C3NO7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-773097 Ba2VFeO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-6001 LiCoO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753451 Ce8Fe8As8O7F Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-772071 Ba2MnSi2ClO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756107 MnCO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-775331 LaMgVFeO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1204916 K2Mg2(MoO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-625258 GaCoPH18C9NCl2O3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1132757 FeP2HO7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1212131 RbV2SeO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-763464 SmVO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-562216 Li2AlCoO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-756523 VBiPbO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-559240 Li5Ti2Mn3O10 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1177943 Li2TiFeO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-762590 ErAg(WO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755668 BaCo2(PO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1196184 LiMnP2HO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-23968 RbVH6SeO9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1573681 Mg2TaCrO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-560897 Pr2Mo4O15 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1214390 NaFeSO4F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-10468 Li2VCr3O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1174324 CsCoO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-752941 Li14Mn22Cr3Cu3O56 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1213944 Dy3Fe5O12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1213966 TbMoO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-776431 Nd3Er(WO4)6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-556633 Li2VGa3O8 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-1223342 BeCrO4 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1205668 LiNiPO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1076172 Li8(CoO2)5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-560723 Rb2Mo(IO3)6 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-23082 K2LiV5H10O19 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1209472 NaCo(CO)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1173688 Li4CrTe2WO12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1102713 V2O3 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-1193284 Na2Fe4O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1175299 Li3Mn(BO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-759279 Li2Ni(PO3)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753604 Na3Fe2P2O10F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-754452 Sr2ScCoPO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-642974 Li2MnCSO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-763051 LaMn2CdO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-766095 Li6Mn2O5F2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-19359 FePO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-775274 NiRu5C17O16 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-755692 Li3V3P8O29 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756303 Zn(FeO2)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-7792 Cd4MoW3O16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756141 Li3MnFeCo(PO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1100744 LaZnFeMoO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1211353 Li3VCrP2(HO5)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19281 KMg30CoO32 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1100719 ZnCrP2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1177616 LiCrP2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1221541 Ba2ErV3O11 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-863393 Rb2NiAgF6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-25393 Li32Mn5Cr11O48 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-774639 FeWClO4 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1191127 MoP4C5S3O5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-753537 MgFe2O3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1316892 LiNiBO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-33623 NaEr(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1180501 Tl2Fe2(SO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-759907 CrH8(NO2)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-778616 LiTiFeO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-13687 Li3FeOF3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-546629 KUVO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1199645 Fe4P7O24 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-603241 Li3Fe2OF5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-756346 CuBi(WO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-19082 Ti5Mn(PO4)6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1290385 Sr5V3HO13 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1076260 Ca10V3P3(O12F)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-752578 CoMoH24N6ClO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1177625 Li3Fe8(BO3)8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-772567 LiFeBO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1212708 NiSn(PO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-772549 Li5TiV3O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-760313 Li2Fe2Si2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-757121 TlMo2(PO4)3 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1273062 VZnSiO5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-756993 MnCd4O5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1220238 Li3MnFe2(BO3)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-17264 RbFeO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-31378 Ca2TaCrO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-35929 Dy2Hf2(MoO4)7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1191386 FeO Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1147749 Li7MnO5F Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-1192289 KV13O20 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1194619 Li3Mn2CoO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19369 K3NaCr2O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-607824 SrYCoO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1285209 Li6MnV3(PO4)6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-758908 LiNd(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-650943 Ca2MnReO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756049 Fe3(PO6)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756125 LaCrO3 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1225782 Na3NiPCO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1197982 Sr2MnGaO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-560338 LiMn2(BO3)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1195400 Li4MnFe3(BO3)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753558 Mg2CoWO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-22005 Cr2O3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1641247 Co(HO)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1208868 ZnCr2F12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1191389 CoO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1204192 LiV2P4(HO8)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19362 Li2CoBO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1292885 Li6MnV3(PO4)6 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-779056 Sr2CoSbO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-19590 KSrVO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-556209 K2Mo(SO5)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1200748 NaMg3In(MoO4)5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-554803 CrAgO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1175573 MgTi4MnZnNiO12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1178874 Li3MnOF4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-551219 Li3Ni2(PO4)3 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-758576 FeOF Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-561403 TbMoO4F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-744199 Li2FeF4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-448 Li9Mn2Co5O16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1218477 Li2U(WO5)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-643263 CsFeF3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-15202 Li3Fe8(BO3)8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1301229 V2P2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-695469 Li5MnO3F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1222041 NdCu(WO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1099932 LiMnPO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756465 Fe8H10O17 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1315081 NaLi2FePCO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1211809 MnOF Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1305082 VInO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-505811 NiTe(PO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1181006 Li5Mn3O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1209398 Li3Cr3(PO4)4 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-1101655 LaSmCr2O6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1209152 LiAlFeO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-573229 KFeSn3O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1203448 CrO Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1174767 FeSb2C6(OF2)6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756053 KFeH2S2O9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1213228 Mg14MnFeO16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1189906 NdTl(WO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1318790 K2Na4Fe2O5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1037085 SmV2IO9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1292612 MnHO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-780487 CoAgO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1216514 Ba3Mn2O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-744862 Li5V3CrO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1274793 MgTi2MnO6 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1094054 LiVO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-552651 Al2NiO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1225028 SmMoClO4 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-554329 Be(CoO2)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-754331 HfCrO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1199432 Li2FeO2F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1194022 Mn2OF3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-752792 LiNi(PO3)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-752552 Ni2P2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-553895 Ba3NdV3O12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-560076 Li3V3P8O29 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1226060 Li2Fe2Si2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-22526 Ba2YTlW2O7 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-1099936 V2MoO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-18984 LaSmCo2O5 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-762505 La7SmCo6(AgO12)2 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-753335 MnC5IO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1275491 Tb2(WO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-753206 Fe2TeWC10SeO10 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mvc-15109 BaNiP2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1076275 KNa7V6Cr2O24 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1223519 BaMg(FeO2)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1178318 MnMoO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1216043 Li3V3P8O29 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-762012 LiVTe2WO12 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-693600 MgCoMo2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1320173 Co3TeO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1211601 Ba5V4(ClO7)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-8414 Sr2Ca2Co3CuO12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-7386 K3FeO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
