mp-1176091 Li5TiMn3O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1176215 Ba2YV3O11 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-765411 Hg2Mo2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1239335 Mo2C4NO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1204296 NaMg4V3O12 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-735568 Mn2AlO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-757550 K5NaFe2(CO2)12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-760212 FeMoClO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-849457 Li2CrO2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-559299 Li9Mn2Co5O16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-555710 Fe2C8SO10 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-775331 CsVWO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-18793 Li(CoO2)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1226936 BaU2V2O12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-765504 LaFeAsO Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1283088 Li7Nb2Fe3O16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-867517 YMn2Al(BO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-639714 Sb(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1228555 Ba6Na2Nb2V2O17 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1195912 K3VSO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1198771 Ba5Lu8Ni4O21 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-757277 AlCrF5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-754916 CsMoAsH2O7 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-26025 AlVMoO7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1276679 ScVO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-18973 Li4Ti3Cr3(FeO8)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-24706 Cu2WO4 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1177526 Er2(WO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755946 Li2Mn3NbO8 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-770632 K2TeMo2(PO7)2 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-1202316 SmMoBrO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1196029 LiFeSiO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-759932 Rb6V6P6O31 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1567945 BaMg2V2O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-775753 LiCrO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-756404 Li2NiP2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1221800 SmFeO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18837 VBiO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1222932 Ta2Ni(NF2)6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-775961 Fe2O5 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1227591 Ba6Nd3TiCu6(MoO12)2 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-19087 LiCoSbO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1200745 NdMn3V4O12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1176782 Li2VF7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-758560 Li9(FeO4)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-772296 TmAg(WO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-259 CaTiNi(PO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-20966 Y2Mo(SeO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1177058 CsFeF3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1208589 Dy2WO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-13592 V2Bi4O11 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1211809 La12Ga23MoO56 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-560652 LiCoP2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1193901 SmVO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-757799 KPr(WO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-760228 Cs2VHO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-768729 Co2NiO4 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-560590 Li2Mn3CuO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1307520 TiMn(PO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1181308 Li9Mn14O32 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1216362 CsEr(WO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-636746 Cs2MnH12(SeO7)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1198239 SrCrF4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1213790 Ca2AlCoO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-771705 Li4MnSi2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-757346 LaFe4(CuO4)3 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-761172 VO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-10906 Cs6Cr2O7 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1101395 Na3TbV2O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-754042 MnSeO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-778404 Mn2PClO4 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1228204 V2O5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-758322 VCrO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-759339 Li7Mn5O12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-17170 VF5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1227657 SmSbMo2O9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1180145 NaCaVO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-11633 Th(WO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19046 Mn2InC10IO10 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-555325 DyVO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753828 ZnNi4O5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-25971 V2O5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1288892 CaLaTiFeO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-558211 Sr2Mn2O5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-777746 Na5LiNi2P2(CO7)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-775153 FeTe2BrO5 Prediction: 1 Actual: tensor([0], device='cuda:0') 
mp-1223180 Li2Co(PO3)5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-756268 BaVClO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-557315 SbMoOF9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-604368 CaNdCoO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756275 Li4Fe(SiO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-22526 Li5Mn2CoO8 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-1221274 RbFeO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-758137 MnHO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-600200 Sr2FeCu(PbO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1222209 LiFe(CO3)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-764480 MnC4BrO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756042 Fe2H4NF6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-754585 AlVO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1244503 LiFeF4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1194656 VPO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-694891 Li2TiFeO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-768683 VZnHPbO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1211532 Li7Mn2(CoO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-556937 CoNiO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-773178 Li2MnCr3O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1178212 V2O5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-867960 Li2MnO2F Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-24200 Li2Mn3(BO3)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-758889 MnTeC5O6F5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1188346 Li2CrO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-624689 V3Zn2FeO11 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-772183 MgFeO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1210504 Dy2WO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-776609 ZnFe(PO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-22789 LiHo(WO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1218723 Co3(PO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1172462 LiFe2F5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-742819 K6U2Mo4O21 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-546027 Ca3Mn2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1279869 Rb2U2Mo3O16 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-19047 Li4Ni3SbO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-754800 LiTiFeO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19197 Cr3Ni(PO4)6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1111105 KCr(SO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1291590 Cr2O3 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1191320 Li5VO3F2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-562779 Cr2(SiO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-532094 LiFeF3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-10511 VBiO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-759101 CoBiO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1641016 MnP2WO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1181555 Sr2CrCu2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-555560 Li2CrO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1211306 CaVP2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-540767 RbTm(WO4)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-756167 VCoO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1638849 Ca8Al3(FeO4)5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-759304 AlCu(WO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-18994 K3ReMoO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1111141 VPO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-863360 NaCaMgCr(SiO3)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1178774 Ta2CrO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1198857 Mn3OF5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1665852 Li3V3(BO5)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-757035 MgNiBiP2O9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1196790 Na2Zr(MoO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-774897 Li2VO3F Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-720258 NaU4V3O20 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1174173 Ni3OF5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753567 VAgO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-688785 RbNbWO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-705042 KLiY2(MoO4)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755234 LiMnP2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-757990 CaPr(FeO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753489 LiVSi4(HO6)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-761279 Ba2MnWO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-642974 RbGd(WO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1205163 Li3Mn(OF)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-758390 Rb5LiSi2NiO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1646718 LiV3(TeO6)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756636 Te6Mo(OF5)6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-863388 Li7Sc9Fe(SiO3)20 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1218098 NdMoO4F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1214884 CrB3(HO3)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1177167 MnSbO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755737 NaFeH4SO6F Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-743704 K2UMo2HO10 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-851087 Na3Mn2P2(CO7)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-770957 Er3Al3Cr2O12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1175441 LiNiBO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1198767 TaMnO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-5179 Ni3Sb4(OF)6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-31230 Li2VO2F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-776733 Li2Fe2SnO6 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-35236 Li5MnCr3O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-18740 CrGeO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-768542 MoPbO4 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-19281 Sr2La3Fe4CoO15 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-744631 LiV(TeO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-754419 K2UMo(IO6)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1095252 Sr3Fe2ClO5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-18800 Nd2Mo4O15 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-559604 NaMoC2NO9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1177950 K2TlCoF6 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1227779 Cu2NiSnO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-559100 CoH2PbN3O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-758456 Li4FeSi2O7 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1286995 Li4Fe2P4H3O16 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-559339 K5V9H20PtO37 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1221190 Li3V5O10 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-1208686 Mn6O5F7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1648760 Sr5V3HO13 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1176521 Cr19O48 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1236837 Fe2HgO4 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-850943 Co(IO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-752946 Co4Si(CO)14 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-27614 NaVWO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-690617 Fe2TeO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1196616 LiMnNbO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-18819 ThV2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-756346 LiVOF4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-14381 TbV(SeO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1178025 CrHg3(SO2)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-8819 Li2V3O6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-704550 Li6CrO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-510408 V2SO8 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1179980 FeSO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-562139 NiO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-766800 Sr2FeMoO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1184398 MoO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-757803 Ba5Cr3O12F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756535 Li2TiCo2O5 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1570351 Li3V3P8O29 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-757854 Li9Mn7O16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-545348 LiVOF4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-35925 Li5Mn6(BO3)6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1217521 LiLa(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1210966 CoO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-867734 SrZnNi(PO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1193243 Ti(WO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-764959 CrSbTeO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-625074 KNd(MoO4)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-756303 Li2Fe(PO3)5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1176873 K2MoO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755332 NdFeO3 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-763051 K4MoWO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-753696 CaPrCoO4 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-561940 SiMo12H24C6N3O40 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-777878 Na2CoAuF6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-541993 LiCr(WO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-754958 TiMnH12(OF)6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1318790 Ni3Sb(PO4)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-545469 Na8Hf(MoO4)6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1209387 CrAuO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-752848 Nd2Mo(SeO5)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1214121 Na2Te4MoO12 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-556984 Ti3Fe9O16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1199318 KLaCr2O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1174903 Li3CuNi3O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1100523 Li6MnO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-626088 Li2Mo4O13 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1252257 Li5Ti2V3O10 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-556428 Li11V16O32 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1202777 KSbMoO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1193122 Na2MnH4(SeO5)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-776015 K4Mo5H4Se2O23 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-558802 VO2F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-540042 CrFeO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-686936 VCoO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-26600 Ba3Y2MoO9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-20986 SrLaMn2O6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-756221 K2RbHoV2O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-694964 Pr2(MoO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-2993 Ta2Zn2NiO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1211051 Sr2CoMoO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1205471 CoF3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-690560 LiFeP2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1247711 Ca2Ta2MnO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1647971 Li2Mn3GaO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1210103 Sr2MnWO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-780203 Ca(FeO2)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1280748 Li4FeO3F Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-753263 K3MnO4 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1104265 Li5FeOF5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1175672 K2UCr(IO6)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1181165 Li2NiP2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-775220 MnCO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753020 FeBiO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-510015 FeH12C5NCl2O5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1221471 MoP4O13 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-1184418 MnC4NO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755562 MgCr2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-756589 LiMnVO4 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1286090 Y2CoTe2(SO7)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1003484 Fe2TeWC10SeO10 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1568164 K2NaV5H10O19 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-754807 Li3V3P8O29 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1200917 Li2CrP2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1318458 Cs5Mo8P(H3O16)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-5151 Li4Cr2Ni3Sn(PO4)6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-772427 NaVCdO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-754881 VSO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1174098 VZnP2PbO9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1223402 K2Be2NiH6F8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-759218 Li4MnO2F3 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-1214599 K5Sm(MoO4)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-649195 Mg14AlFeO16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1210760 CoRe2(H2O3)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-559456 SrCrO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-760202 TmTl(WO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-29142 Sm4Fe3Co(AsO)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1104384 CoH2SeO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1281224 Cr4(CuO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1222358 Li2FeO2F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-754904 Cr2FeO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-758431 Ca4Al6MoO16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1204162 CuMoO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-771916 Ni(XeF8)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1095337 MnSO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-754615 Li2Cr2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1258369 Mn4CuO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1661647 TiMnO3 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-559125 BaNiF6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-25446 LiMg30CoO32 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-867647 Co4Ge(CO)13 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-19114 FeO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-759009 Ca(NiO2)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1213193 Li2MnSnO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-759490 Na2ErPWO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1076890 Na5NiHO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755607 LiFe4(PO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-18938 LiMn2O4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19116 LaNiO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-26941 RbAlNiF6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
