mp-1203622 K2RbLaV2O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-771385 Na3Mo(OF)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1200032 Li2MnP2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1275528 NaV2O4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1215303 La2MnPbO9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1221356 Rb4Mo5(PO11)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-558835 Li3CrPCO7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-559028 LiMnAsO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-773008 RbHo(WO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1105560 Eu2Mo(WO6)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1177499 Mn4OF6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18949 Ca2V2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1203448 FeP2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1208685 Li3NiPCO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-867672 SrLaMnO4F Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1099722 Li2FeNiO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-21823 KTb2Cu(MoO4)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1204461 Li4Y3MnO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-10399 Sr2NiSe2(ClO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-554477 MoH4O5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-556428 Mn2O7 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1207739 LiMnF4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-560157 Mn2OF3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1218824 LiTiVO5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1209427 Li2VO2F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1306614 Li3Fe8(BO3)8 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-867719 CoHRu(CO)6 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-19275 SrMnO3 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-779047 VAgTeO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1217927 KMoPO7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-615173 HoCrO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755672 Fe3MoC11SeS3O11 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1193000 FeF4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-690560 V2O5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1216355 VZnP2O7 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-19362 CoBiAsO5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-753713 MnWO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1062939 K2U2MoO10 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-768711 Co2BP3(H3O7)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-25457 SrLaMnNbO6 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-17729 LiVCrP2(HO5)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1217982 CsHo(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753300 KVH4O7 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1198067 LiCoPO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19305 Rb3FeO3 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mvc-7986 Ca2YAs(WO6)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-779065 PaCoO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-18908 MnNi(PO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1229132 VOF3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-15849 LiNiPO4 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-753740 K2FeF5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-770650 Y4(Mo2O7)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-697882 RbMn4O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-10504 Mn5Fe3O16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-549767 Li2MnO2F Prediction: 1 Actual: tensor([0], device='cuda:0') 
mp-600224 Ba2CoGe2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-754520 VOF2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-771704 LiNiBO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-767432 CoBi6(SO8)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-556997 Ba2Gd2Co4O11 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-505040 K3Cr4PO16 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-754421 K2NaFeO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-768421 Mg2Ta2NiO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1195554 Cs2NaCoF6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1221887 Ni2P2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1227921 MgV3O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1180042 LiCrPO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-26919 Fe5O7F3 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-557107 MoOF4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-687090 TlVSeO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1218701 Li2CrCo3O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1176278 Mo(PO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1263325 FeP2HO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-771780 MoO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1177868 Li4Fe3P4O15 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1209367 CaLa3Mn4O10 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1639328 BaV10O15 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-625714 Cs4FeO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19446 CaVO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1189861 V3AgO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-778015 K2Mn2O3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1203753 KMn6P7O24 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-560733 Rb2Zr(MoO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-775274 Li4Cr3GaO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1197647 Li2CuNiO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1101152 Mo(PO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1076761 Li3V3P8O29 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753446 CsMoAsH2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1568822 K3ErV2O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-778791 LiNbTe2WO12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1274694 CaCrP2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1208766 Co29Ge13O56 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755844 NaVCSO7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1193153 Li2MnPHO5 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mvc-13320 BaYMn4O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-560118 VOF3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1198645 LiFe2F5 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-24036 Sr2ZnMoO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-758889 NaMnVO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-756775 La3FeW(SO2)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-572487 Rb2Mo2H4C4O15 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-17362 Li2Mn3FeO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19399 Li2Cr2O7 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-760973 Tl2Mo7O22 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1218828 DySbMo2O9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-554684 RbSm(WO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1275475 V2CdO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1215003 KV(SO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1177220 Al2NiO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-758663 Al5(FeO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1176474 MoO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755283 Li2V4O3F8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-752622 K(MoO3)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1193263 VOF3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1247655 SrLi4NiO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1213684 LiCoPO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1212931 NaLi2NiPCO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-649492 MoH4O5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-752984 MnBiAsO5 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-572715 Sr2TaFeO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-614777 Ba2V(SiO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1223091 VZn2IO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-649632 CrO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1221666 CoO2 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-1175472 Y2Mo4O15 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-554274 Na4NiP2O7F2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755100 K3NiO2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-20052 Li2U(WO5)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-758858 Mn6O5F7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1174173 Li2TiVO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-18969 TiVO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-761204 YV(SeO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-752925 Cr(WO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-689981 K2MgMo2(H2O5)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-776668 Na3MnBSO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-754980 Li2TiCr3O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1211038 NiTe(PO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1217362 Fe3B7IO13 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1194554 MgV(SiO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-778931 Rb2CaV2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1218837 Li2Ti2CoO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-867704 Li4Mn(BO3)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-26191 LiVZnO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1174867 UV2O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-540439 TlFe(SO4)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-744527 Pr2(MoO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1210261 Li5Fe3(NiO5)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1037572 NaCr2In(H2O5)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1176234 ScMn(BiO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1661570 Li2CoSiO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-764959 Li2NiAgF6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1218311 NaLi2FePCO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756178 K2FeP4O15 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-2997 Li5Mn5(SbO6)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mvc-1236 LiNbNiO4 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-1198533 Th(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1181896 VXe2F17 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1103778 CuNiO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-25265 Li3Fe(PO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-761066 Al2Fe2Bi2O9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1281591 Li3CoPCO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1227861 CaMnZnAs2H3O10 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-22169 Yb2Mn3Sb3O14 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-759931 Cs3Pr(MoO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-850904 LiMnVP2(HO5)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19019 Pr3VGeO9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-753376 Y2WO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1221598 Li2CoSiO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-758761 Li3V3P8O29 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1227058 MnAl2Sb2(PO4)6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-781954 LaSbMo2O9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755579 Li2FeP2O7 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-756977 V2Pb4(Se2O7)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-752445 Mn2OF3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-554213 K5Na3Nb6(WO12)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1194869 LiFePHO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-758248 Li6Fe5O12 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-26998 Na3MoNO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753234 Nb2MoO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-560756 V2Zn2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1197764 Rb2MnF6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1218895 LaCrO3 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-773050 LiCoPO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1177931 Li9Mn2Co5O16 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-556401 Ta2CrO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-19116 LiMnSbO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-868632 Li2FeP2HO8 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1218300 Yb2V2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-758348 Mn(CO)5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-780328 Sr2CoSe2(ClO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-715574 GaCu(WO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1177850 NbCrO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-768059 Li3V3P8O29 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1213049 Fe(HO)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-754656 FeH10S2(NO2)4 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-761114 Li2MgCo13O28 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-26864 KV2PO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1204913 Bi2(MoO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-769555 TiCr2Ni3(PO4)6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1194022 LiIn(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-771824 V2O3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1221016 Dy2WO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-705404 Na2SrLiVP2O9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-551544 Li2Mn(SiO3)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-19406 Li4FeO3F Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1101240 Cs2V5H5O16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755563 Tl2Cr3O12 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1177705 Na2NiO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1653381 Fe2P2H4NO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1215743 Mo2P2O11 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-1755 CrBiO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756504 NdY3(Mo4O15)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-581324 BaMnVF7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-781081 FeBiO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1075956 Rb2TeMo2(PO7)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1180305 CaZrV2O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-11947 Ba2SmV3O11 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18741 Li4MnOF5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1105482 Mn3Nb6O11 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-23967 VGeO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1221066 Li4FeSi2O7 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-1179083 CaVBiO5 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-18997 CaMn2O4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-17542 NaFe(SiO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19079 Li3V(PO4)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1201019 SmV2BiO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-25264 LiMnPCO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1222932 Li7Mn2(CoO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1105353 RbY(WO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-765310 ThTe2MoO9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-562139 SrCa7Mn7CrO22 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-636731 VCrO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-770892 Te6Mo(OF5)6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-559941 Li2MnCr3O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-648893 InMoHSeO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-772631 Li7Mn4CoO12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-767927 InCu(WO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-17269 CaCrO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-542671 LiFe(Se2O5)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-677260 Ca4ZnCo(Si2O7)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1296431 Na3VH11IO13 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-851075 K2RbDyV2O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-24234 Li3MnV(PO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1210734 SrLa2Fe2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-556092 CsSm(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1214357 Li3Mn4SnO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1272971 Li2VGeO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-754012 LiCoSiO4 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-766838 LiCoPO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1207601 Tl4V5CdClO15 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-6402 VZnHPbO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1193290 CaFe(GeO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1214859 Ca(CoO2)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1247654 ThTeWO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-705828 CsLu(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-851253 Li4Mo3O8 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-766694 NaVH8(NF3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753494 SrCrO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1660522 Li3V3(FeO6)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-18398 Li2VBO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1214664 LiCoP2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1238663 Li5Mn6(BO3)6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-772210 Li7NiOF7 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-770727 Na2LiMnPCO7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-19418 CsRb3(Mo3O10)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-553919 Li2NiP2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-23388 MnTeO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1314584 VOF3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-774938 CrHC7NO5F2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1224465 Mn2ZnO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-704306 Li24Ti7Cr5O36 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18856 VH17C4S4(O5F3)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19220 Na4Mn2O5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-714931 Cr3H8(NO5)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-768709 Bi14MoO24 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1200763 ReWO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-777044 Ca3CoRhO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1203632 Li2Mn2P2(H4O5)3 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-704115 NaCaMgFe(SiO3)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-504506 CaVO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-761246 Ho2Hf2(MoO4)7 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-23082 Fe(ReO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-850187 K2Cr2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-31760 LiCrPO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1196299 Na3MnPCO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-689929 Li2V3SnO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1214505 V2Pb4O9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1574416 Li4MnCo2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-557221 NiP2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1101589 Li2CuNiO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1237274 LiMnBO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-554787 Ta3NbV4O20 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19660 VZnSiO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1222041 CaMoO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1208827 LiVP4O13 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-761077 Li2Fe(Si2O5)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755163 CoH2SeO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1190916 Li4CoOF5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1196748 MgMo2O7 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1194912 MnV8O24 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1221289 Ba3CaTiWO9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1203751 KAl2NiP3(H2O7)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-775171 Ba3Sm2WO9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-4438 TiNi(PO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1248912 Mn7(AsO8)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1210358 SrCaMnO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-559240 TiMn7(PO4)12 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1198646 Mn3(O2F)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1210051 FeBO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-778358 BaMn2O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-698305 Li4Co5SnO12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-540093 Mg2V2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1211916 LiNi4(PO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19417 K2Th3Mg(MoO4)8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
