mp-18160 Li2Mn(Si2O5)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753308 TmTl(WO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1218100 Li3Mn4(BO3)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-761105 Na3V5H26O27 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-779365 Li3V3P8O29 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-684727 Gd2Hf2(MoO4)7 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-863371 VHO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1193007 Rb2Mo2H4C4O15 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-752853 V2O5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-19006 Ca5V3ClO12 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-504864 Ba2CaMoO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1218113 Bi14Mo5O36 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753696 NdTl(MoO4)2 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-761166 Li3NiPCO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-757799 Ni2P4C11S2(OF8)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-560690 Mg2Nb2WO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-776588 Ba2TiMnO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1217238 VPO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-505766 Ba3Co2(NO2)12 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1209367 CrPO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-4854 MgCrO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1216992 LaCrAsO Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-614777 NaMg3Al(MoO4)5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-705070 CaLaTiFeO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1037040 Li3V3P8O29 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1040079 Li3MnV2O6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-760035 Li2V3SnO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1176752 BaLa2TiCr2O9 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-754649 Li6MnCr3(PO4)6 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-754222 LiVSiO5 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1076765 CrF2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-761054 SmVO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-752582 VPO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-553895 Li8Mn5Fe3(BO3)8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-763910 CdTeMoO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753212 Sr2FeO3F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1199397 Li2Ti3MnO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1177850 Fe6O7F6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1174910 Li2Mn3(BO3)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-975505 Mg2VP3O11 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-753659 Li8Mn7Fe(BO3)8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1190856 Li2V(FeO3)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-781754 RbVH4(OF2)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-639714 Li2Mn3P5O18 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-10509 LiCoPHO5 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-557365 Li6Ca12Mo4N16O3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-697924 TmWBrO4 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-755513 Li2Mn5(Si2O7)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-764760 K2Mo2O15 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-26462 Na2ZrFeSi2O8F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1154753 MgBiMoO5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1037086 Li2FePO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-559600 Li5MnO3F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-778007 Na2NiH6C4N4O3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1639328 VZnBiO5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1641070 V6CuO15 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1302887 VCdClO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-504097 BaV2O6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-850407 Li4VO4F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-698432 TiFe3Bi3PbO12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755398 LiMnBO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753963 LiMnH6O7 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-573229 Ba2MgMoO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1207646 Na13Ni11O24 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1641248 LiTiNiO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1177532 Nd2Mo4O15 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-554533 LiCo2(PO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-760981 CrO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-849362 VOF3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-755249 SrLaFeRuO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-754180 Li3V4O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-17591 MnB12(H5O12)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1222538 Li2VO2F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755852 TmTl(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1218686 V4(OF3)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-755819 PrFeGe2O7 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-758630 Cr2P3O11 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-706337 Li3Cr(BO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19184 LiTb(WO4)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-745016 LiVOF4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755536 CoHCO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1570380 LiVSiO5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1223484 Li3Mn2CrO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1228262 Sm2(WO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-776692 LiVPO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1228204 Rb6U2Mo4O21 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755754 NaCoO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-560793 SrV(PO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-558321 Sr2CoSi2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-759597 VCuO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755073 VF5 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1194921 Hg2Mo2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-757444 BaV8O21 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-540219 Cr2Ag2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-849434 Ag2Mo2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19031 MnH2Cl2O Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-761101 VS2NO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-25202 VCrO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1199703 MnCO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19112 Li2AlVO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-558292 Li4Mn3Sn(PO4)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1220238 LaZnFeMoO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-758521 MgMnB2O5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1178214 Mn2C7S2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-752921 VO2F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-5587 Mn2CuO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1114699 Fe9Cu3O16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1175310 LiMn(PO3)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-690460 Mg2Ta2CrO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-765238 Ta12MoO33 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1205668 Nd2WO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-505679 LiVSiO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1216804 SrV2ZnO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1227446 Li2Ti3MnO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-18997 LiCrPO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-776979 Cs2RbFeF6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-555287 Ni3OF5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-17475 CsVSO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1224572 CoBiO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755584 Na3V(SO)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1202861 Fe3C10SeO10 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1218440 Cd(CoO2)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-768381 Li2VCrP2(O4F)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-643412 CoO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1198864 Li9Mn2Co5O16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-18835 LiVCO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1301229 CaCrP2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-764993 Li4FeSb(WO6)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-752855 Mg2Mo3O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-755844 Li2Cr(CoO3)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-505345 Co(N2O5)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-770766 Ba2Ni(PO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-777333 LiVO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1227081 LiCoP2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1100702 K2Li2NiO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-3279 Li3FePCO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-558816 Ni2BiB(PO5)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1177902 Na3(CoO2)5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-755246 MnVAgO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1647423 LiV4OF11 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-1236 NaDy(WO4)2 Prediction: 1 Actual: tensor([0], device='cuda:0') 
mp-1175811 TiMn(PO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1201319 SrMoAsH3O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-556308 LiVSiO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1103970 V2Co3Te3O16 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1175955 V2Cd6Se5O21 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1574470 Li2Mn2OF4 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1271282 Ca6La2Mn7CrO24 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1208045 Mg2CrWO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-767722 V2Bi4O11 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1318790 Ba6Na2Nb2V2O17 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1215809 LiV2F5 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-758108 Li3VO4 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1202350 Y2W2O9 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-1101185 Na4CoAuO5 Prediction: 0 Actual: tensor([1], device='cuda:0') 
mp-19197 Li2Cr2O7 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-18251 Mn3ZnO10 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-771110 Ti9Fe11O30 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-754619 Sr9LuV7O28 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1221286 RbEr(WO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-735563 Bi2Mo2Se2O13 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1641604 V2H38S4(N2O9)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-779274 Li3V3Cr2O10 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-766101 Ba2MgCr2CuF14 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-757718 Li4Mn(PO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1277814 Li5Mn(CoO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-761158 CsNi2F6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19239 V2O3F Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1214393 Mn6OF11 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753491 K3VO4 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1203598 FeOF Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1177154 Mg(FeO2)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1210997 MnC4NO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1265780 V5H18N3O17 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1180705 Nd2(MoO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-18994 V2O5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1213682 Li4Ti2Mn3O10 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-760125 FeOF Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-758482 Sr2CoWO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1210021 La2MgNiO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1212309 Mn2P2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18793 NiGe3O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-759453 VO2F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-761139 Li2TiFeO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-746778 MoPb2O5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18988 LiFeF3 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1226781 Ba2Tl2Zn2Co3O10 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-26681 Sr2LaMn2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-630880 V3CoSb2(PO4)6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-776079 BaHoFe4O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755692 Ca4Mn3CrO12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19231 Ti3P6WO24 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1100558 V(PO3)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-774338 Ba2V4Cd3O15 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-757948 Cr2SiO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1199651 ZrCrO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-745180 Li3V5O14 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-767687 Li4Ti2Cr3Co3O16 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-753865 Rh2WO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1661813 ZnCr(GeO3)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-19047 LiFe2(BO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1539213 LiMn2(BO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1228103 LiMn2O4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-557549 Na2YMoPO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1111141 Ba2SrV2O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18859 Li3Al2CrO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-704210 Na2CoAgF6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-766838 Ti(FeO2)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-753994 Li2Ni2SbO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-622278 Li2VF6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-16311 LiCo(CO3)2 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-1182407 Li9Mn2Co5O16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755006 LiVOF3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753446 MgNiP2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-36738 Li4Fe3SbO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1215766 Ba2YMn3O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-687204 Li2VGeO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18487 Li2V(CO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756841 YbCoC6N6O5 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-867947 Li2V(OF)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-752527 Li4Co3Sb5O16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1227842 CsTiNiOF5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-765588 TiNbCrO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1099664 Na3Mn2SbO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1173997 Li5V6O5F19 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1256958 Zn3Cr2(SiO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-774360 CaMo2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1218284 Li2CoO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1180459 SrLaTiMnO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1100633 Li9Co7O16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-758805 CrO Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1305082 Ni(HO)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-757152 Ba2Mn2As2O Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1228131 MnOF Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-30084 Lu2Mo4O15 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1174568 Bi14MoO24 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1209259 SrMnO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-690511 Li5Ti2Fe3O10 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1298504 Cr2(Bi2O5)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-505688 LiFeSiO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1211704 NaFeSO4F Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-1176012 LiCoSbO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1248625 NdVO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-755934 Al2FeO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1079680 NaVPO4F Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1211145 Li2TiMnO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-770692 CrFeO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-758869 Ni3Sb4(OF)6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-652092 Dy2(WO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-772638 MoPb5O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1278467 Mn2V2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1212381 Sr2YAlCr2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1217154 TiNi(PO4)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-19406 Ba2V3InO11 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1228597 MnSeO3 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-759536 SrPrNiRuO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-768842 Na5Mn3F14 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1147623 Li3V2CrO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753587 NaY(MoO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1178056 Li3Cr(BO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-26121 LiV2O5 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-764169 Ba3Cr2O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19290 LiMnV(PO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-560118 Ca3V2O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19343 Li7NiOF7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1106123 LiVBO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-766127 InNi2SbO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756794 Ba3NiSb2O9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1280502 Li7Mn4CoO12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1312920 Li3Co3OF7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755170 Li2CrO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755801 Li4NiOF4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1196197 CrP2Pb5O13 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1207819 MoAs2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-760283 LiCrO2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1076831 MoH4O5 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-756530 CaV4(CuO7)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1275489 LiMn(PO3)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1287027 CsTaCo(OF2)2 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-757650 Li5Co4(Si3O10)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-764827 Fe8H10O17 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-764318 Li2Co2Si2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-559975 Na5Mn2P2(CO7)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1216342 Ba2Y2Mn4O11 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-757873 CsSm(WO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18973 Li2FeSn(PO4)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1316892 Ba2CdMoO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-572621 CuWO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1203622 Rb3V(SO5)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-758206 Li2MnSi3O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753509 VF5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-691106 Mg30VFeO32 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-868632 LaTiZnFeO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-766106 Li2VGa3O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1105199 CoB4O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1175050 Li4Al3Cr3(SbO8)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1200173 FeOF Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1205972 SrNd2Fe2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1104228 Ni(PtO2)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1198790 Na3VPCO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-776874 Li4Mn3(SnO5)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1198767 Li4CrO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-774366 Na2Mg5(MoO4)6 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-23501 NaFePH2(CO3)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-32311 Sr2V2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-947 HoWBrO4 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-17724 PrTl(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-773023 Co3NiO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753531 Na2VBPO7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-752702 Bi2MoO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-773197 TiNiP2O9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1157256 KVMoO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-759255 RbNaCr2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19084 Li4V3Fe2Ni3O16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
