mp-745180 CoH18Br2N6ClO3 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-774683 CaMg30VO32 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-647969 FeO Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-644334 CoH12CN4ClO7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-760391 Ni6OF11 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1223617 Ba2V2ZnO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1224963 UAg2(WO5)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-557663 K3Fe5F15 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1297760 VAg3O4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1192153 MoH8(NO2)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1305502 BaNd2(MoO4)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1175930 Ba2HoV3O11 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-759852 Na2ErMoPO8 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1239448 Li2VF6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-30084 Ti2CrO5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-559758 Er2WO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753628 FeHO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1282570 Sr2MnGaO5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-744181 Ca(FeO2)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1176772 CrPbO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-757813 CoHRu(CO)6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-755188 KMgIn(MoO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-776285 MnO Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-540788 BaYb2(MoO4)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1247574 Ba4Cu3MoO12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1191333 Li4Fe3(OF3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-542292 BaFe2(PO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1226362 Ba2DyV3O11 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-542979 Mg2V2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1574416 V2PbO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1176227 Li2VO3F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-764959 Gd6Mo10O39 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-780675 Li2MnOF3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1214499 TlMoPO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-863396 Sr4La2Mn3(IrO6)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-28138 Ba3VO5 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1219781 MnTeMoO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755037 Li4Cr2Cu3Sb3O16 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1190411 YCr4(CuO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19407 Li4MnV(PO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1211658 YbMoO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-759632 TiV(PO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1196774 Ta2CrNO5 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-754122 VPO5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-19084 Ni(HO)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-776873 LiFe2(PO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1228549 MgCr2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756775 Li7Fe4NiO12 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1209246 Hg2Mo2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-757170 Ca2HoMn4BiO12 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1215102 TbSbMo2O9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1173791 MgCoH16(ClO2)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-698567 Cr2PO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19148 Cd4MoW3O16 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-561026 Zn3Fe2(GeO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-765735 V2OF5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1179963 Li9Mn2Co5O16 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-572430 Lu2Mn3Sb3O14 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1196870 LaMnO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1218662 LiMnPO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756699 Li2VP2O7 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1173735 NaFeO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1177678 LiCo3P4O15 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1222854 NaFePH2(CO3)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1174046 Li4Cr3GaO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-761196 SrCaTiMnO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-540566 Li9Mn2Co5O16 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-1195289 Ga2Te2MoO10 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1180042 Na7Li3V10O30 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1177429 Mn2P2C12S(O2F3)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-554750 CrO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1114473 Li3Cr(NiO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1248625 In2(MoO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-779306 Ca2Al2FeSi4BO16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-504732 Mg2CrWO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1222830 BaCaV2O7 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-553910 VBi(PbO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-25280 Li6MnO4F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-26025 LiVP2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-777480 NdCu(WO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-39540 CaMo2O5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-554075 CrAuO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1195119 Li(CoO2)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1200438 Mn4O7F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1036995 Na2NiAsCO7 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-552567 Ca3CoO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-24069 Li2Cr2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1101719 ThV2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-776106 K3MnO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1573955 Bi2(MoO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-556688 Li5Fe8(BO3)8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1205311 Cs3NiF7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-559178 LiMnAsO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1195555 Na5LiMn2P2(CO7)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1211586 Li9Mn2Co5O16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-770910 Cs2NaCoF6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-25196 Na5MnO4 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-1224708 V4CrFeO12 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1238773 Li2Si3Ni2O9 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-745016 Li3V3P8O29 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-557370 ScVO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1222009 Li9Mn2Co5O16 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1197395 BaNiF4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-780331 Li2MnP2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-775949 V3Co(PO4)6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-26140 FeP2WO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1187773 FeOF Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1661570 Ba2NiMoO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-867760 CsLa(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19021 K2FeP2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-770745 CoO Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18732 CoH9C4NO6 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-554313 KLu(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-16799 Na2Zr(MoO5)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-774243 LiPr(MoO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-22224 NaFe(SeO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-754412 CoH12(ClO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-752958 LiCo(CO3)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1212595 TlFe(SO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755695 TiMnO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-758209 LiCr(CO3)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1100950 U(MoO6)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-559445 Li2FeO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1112565 Cs2Mo(SO)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1216682 VH14SO11 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1221374 Ca2Co9O13 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1279742 Rb2Cd2(MoO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1105482 Li2MnFe(BO3)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-773099 KLiNd2(MoO4)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-757179 Fe3(OF3)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1211145 K5In(MoO4)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1080749 Na4CaFe4(PO4)6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-505263 YV2BiO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-772563 Ba2ScV3O11 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19446 Cr2O3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-561817 MnP6(WO8)3 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-561519 RbDy(WO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-755064 Li4NbCr(WO6)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1641880 TlCoF3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-562300 Ca(FeO2)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1189416 Tl3Mo4(P2O11)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-18809 PrCoO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-542210 Li3NiOF3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-560076 Ca3Co4O9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755437 LiV(CO3)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-753288 Li7Mn4(P2O7)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1302039 LiV4O10 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-623098 Co(Si2O5)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-779090 Li2Mn3(BO3)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1209465 Cs2CrH2Cl5O Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1192455 Co3OF5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1175705 Cs2MgCr2(H6O7)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1209334 Cs4Rb2Fe2O5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-561541 Li2MnOF3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-752988 TlV3Cd4O12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-774155 Nd6Mo10O39 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-774581 InCu(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-704731 V3Pb5O12F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1173171 CsNaMo3O10 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1188402 KSrVO4 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-554123 LiVFeO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1221598 FeCo3O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-757509 Li7Mn2(CoO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1190897 Na2CaV4O12 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1199757 Li9Mn2Co5O16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-772415 MgMn(SiO3)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-779059 Mg2TaMnO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-650228 CoH20C4(N5O6)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-541256 LiNiPO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1238930 KMnCl3O2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-752653 Mg10FeO11 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-756622 KSrVO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-2592 K2MoH2(CO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1221998 CoMoH24N6ClO7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-25459 Sr9LuV7O28 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1251711 Li3FeO2F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-760974 AlV2O4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-777589 LiMnPH2O5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-504262 Rb3FeO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1105842 Li5MnO3F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-754753 Sm2WO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-765091 Fe(HO)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1218148 Sr2FeSnO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-560888 Li4Co(OF)2 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-1080187 Zr(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1299702 LiNiPO4 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1191085 Ba3CrO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-581156 NiB4O7 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-18921 Li7Mn2(CoO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1227706 Cs6Si2NiO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-19108 Ca2CoIrO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-11208 ThV2H4O9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-8638 LiVMoO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-554339 LiTi2V3O12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1208141 LiCoSO4F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-752598 Li2VO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-867697 V2Zn2O7 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1211809 Li3Fe(BO3)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1175340 NaVO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1218557 Mn2CrO4 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-759813 Li2MnCoO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-32244 Co2OF3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1201219 Li4MnCo2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1196327 Cs4BaV6O18 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-752612 Li2Cr2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-541814 RbLu(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-754780 NaMn3O4 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-1218746 Sr2MnNbO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1205476 K2VPO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1191084 MnClO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-850398 Dy2V2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1176421 Co2PO5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-765358 MgCrSF5 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1226454 ErCrO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1226239 Na3LaV2O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-699398 Ga2FeO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-864958 Dy2(MoO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1210051 Li3AlNiO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1191502 Sr7CaMnFe7O24 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-760338 RbV3O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1178549 K4BaV6O18 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1210722 LiCoC8(N2O3)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-758175 FeH4C3O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1211273 Li2Co3SbO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-653887 LaNiAsO Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19090 ZnCr(SiO3)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1175631 Li4Ti3Cr3(SnO8)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1203622 KV2AgO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-643954 Li3FePCO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-10164 LiTiNiO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1207940 NiF2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-699914 ScTl(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1193572 V2Pb3O8 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-767774 RbV3Cd3O11 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1199210 KNiAsO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-31755 VF5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-755485 NaVZnP2O9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-25321 LiFePO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1293197 KHo(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1227669 K3VO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1278154 V3Pb5ClO12 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1222548 MoO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-4408 NiSn(PO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1003484 V2ZnO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-705034 Ti3Cr2Sb(PO4)6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-26387 ErMoBrO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1214162 NaCa2V3Zn2O12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1214521 Ca(NiO2)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-770765 Ba6Na2Ta2V2O17 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-756421 Li2V(CO3)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1177833 LiNiPO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1218631 Ca3Fe2Cl2O5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1568804 Li3Mn4P3H12O19 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755171 Li2CoSiO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-626540 Li2U4W4O25 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753142 CoP2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-14150 NaFe(SO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1193859 Li3CrPCO7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1279252 LiFeP2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1214963 Rb6Co2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1103973 Li2VSi2O7 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-767752 Li5Mn8(BO3)8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1192030 LiVF5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1208910 LiMn2(PO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-20287 Ba2FeMoO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1316892 Li4FeSb(WO6)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1102092 Li2MnFe(BO3)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1293179 VMoO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-557931 Na2Mg2Fe2Se3(SO8)3 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mvc-3999 MgFe(PO3)4 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-778814 Sr3DyMn2O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-5503 Na4Th(WO4)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-752990 Pr3BWO9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1249045 RbCrClO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1174650 Rb2MoO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1203476 LiNd(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-704545 Ba2Fe2S2OF2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-557144 LiMn5P3O13 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1201518 Li2CoSnO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-555876 Li2Cr2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1003311 Ba2FeGe2O7 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-985626 Li5MnF8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-18938 MoP4C5S3O5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1214664 CaMg30NiO32 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1036151 MgCrO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-865132 Sr3CaNdMn5O15 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-22417 LiLa4MnO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-17353 LiTiCoO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-560160 Li2VO2F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-772318 NaCr2In(H2O5)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1660336 KRb2Mo(OF)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-867558 LiMn4O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1101535 Li8Bi2(MoO4)7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1218724 Li6Mn3CoO10 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-677097 CuBi(WO4)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1196299 Li3VOF6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1274793 Ti2Ni(PO5)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-756147 CaV4(PdO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1651545 TmAg(WO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1188729 Li14Cr2N8O Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1201485 CrOF4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1180876 NaCrO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-8188 TiVO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-778016 FePtO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-25292 K2RbPrV2O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1195137 RbAl(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1217380 Nd4(WO5)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-759674 Li2MnFe(BO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-752708 LiFeOF2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-754592 Sr6Ce2Y4Fe3(CuO8)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-755211 Mo(PO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-863436 Ba2Li3La3(MoO4)8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
