mp-1218391 Ba2La6Mg4Ti3WO24 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-864958 LiFe2P2HO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-780499 LiCr2O4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1661570 Na2FePCO7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1318521 Mn6O5F7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-601377 CaLa2Mn3O9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1178433 V3Pb5O12F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-555068 Li2CoP2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1211463 LiSc(WO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1174432 Sr2V4Te2H2O17 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-774371 Li4Mn3F10 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-760125 Li2NiP2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-647812 ThCr(IO5)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1175868 LiNd(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753602 SrCrO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-705480 VH12C6NO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19770 Li2V(PO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-771019 KEr(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19365 BaCaV2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1211174 ZnCu4(WO4)5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1286228 FeO2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-771650 Mg10FeO11 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-7672 MoH8N2O5F2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-622258 Li4VCr3O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1222520 Sr4Fe4Bi5PbO18 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-706566 CrO Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1223481 KV3(SeO6)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1214814 CsV2SbO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-763353 Li3(FeO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-777414 MnAl(WO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1175827 Co3NiO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19087 Li2Fe3NiO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-18989 BeCrO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1227857 VAgTeO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-754622 Mg(FeO2)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753464 Li4V3P8O29 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-753675 NaV2O4 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-560076 Sr3LaTa2(FeO6)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-773607 LiV3O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-754147 Li2TiCo2O5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753545 CrRhO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-18992 MnH12N2(Cl2O)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-765679 VZnP2PbO9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-4996 Ba3Dy2MoO9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1237135 CaV(Si2O7)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-778861 LiNi2(PO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1579542 SrMgMn(PO4)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-752789 LaV3TeO15 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-23973 Li9Mn2Co5O16 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-770570 Li9Mn3(WO4)7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-780734 VPO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1096881 LiFeP2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-758308 KPr(WO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1176417 Tb2WO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1209262 Li2CrSi3O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-562762 CoH15Br2(N3O)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-755945 Rb2Mo(OF2)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-780516 Ho2Mo4O15 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1221127 K2NiC4(SO)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-777572 CsVOF3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1192249 SrLa3Mn2Cr2O12 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1174678 Li6V3Cr(PO4)6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-684996 LiCrPO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-758344 La7Mo7O30 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1101185 Mo2H9C2NO7 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-557442 NaVPO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753609 Fe3O4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-758062 LiTi2VO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19309 Li4Cr3Fe5O16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755100 Mn2InO5 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-540314 MnF3 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-773455 Sm2WO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-17458 Li5Fe2P2(CO7)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-532050 NiSn2H12(OF)6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-600211 Ba2MoO3F4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-708 In2Te2MoO10 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19299 Mn(SbO2)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-647969 CsY(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-555338 MnF4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-556429 NaLiV2O6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-766127 Li2MnCoO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-8338 Li2NbCo3O8 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1105482 Ca2Ta2FeO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-707110 Rb3ErV2O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19039 Na2Cr4O13 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1104015 Li3MnBAsO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-757749 CrH14N4Cl3O Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1194049 Sr2Ca2Co3CuO12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753333 La2Mo4O15 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-559299 Na2FeO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-760047 CaLaMnFeO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-850204 Na3FeAsCO7 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-510281 Mg3Fe(SiO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-761073 MoF5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1114148 YVO4 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-758661 CoO Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1228731 LiMnPO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-777497 BaVClO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-765624 CaFeBP2(HO5)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756147 LiMn2P2O9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-9192 TlV3(SeO6)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-33537 LiNd(WO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-752975 LiMoP2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-774249 Mg3Co2(GeO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-867554 KV2PO8 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-756217 LiNiBO3 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-753428 Rb2Mn(PO3)4 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1002572 Li7Mn4CoO12 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1227671 Mn2P2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1037121 Li6Cr5(P2O7)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1227071 Ca2MoO5 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mvc-2968 Li6VNi3(PO4)6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-996994 Fe3O4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1577282 AlV(TeO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-648179 NaVPO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-558517 Li5Mn8Fe11O32 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755986 BaV2ZnO7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-761168 Cs2MgCr2(H6O7)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1192562 Li2CrP2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-771974 LaTiZnCrO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-4408 ScV(SeO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756464 Rb3HoV2O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1173715 Hf3NiF6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-11732 Fe3Co2Sn(PO4)6 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-1211586 VCrO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1176478 Tl3(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-757614 Ni2(SO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-776285 LiFeBO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-560270 Li2CrO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1226647 HfMnO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-7570 Li3V3P8O29 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1194435 Na3Mn2P2(CO7)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1222155 Li3Fe4(BO3)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1177903 LiFe2(BO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-775462 Na2Co2O3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1235619 Sr6Li2Cr2N8O Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1175557 Ba5Lu8Ni4O21 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1207744 Ca2MnO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755469 Ba3NdV3O12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19359 NaNbWO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-763610 Cr3(PO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1178448 Sr8Mg3Fe(MoO6)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-12139 VAg3F6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1102997 KMoAsO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-754968 CsCrClO3 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-26639 Li2V(OF)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1211556 MgNiO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1105199 Tl(MoO3)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1227173 Na2Ni2O3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-29248 Co(SiO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1177936 Ca8Ti2Mn6O21 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1202358 LiFe3OF5 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1071505 Li2MnCoO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-761322 MnPH2CO6 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mvc-7986 Li2Fe(WO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1202541 LiV(SO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-505271 VN3O10 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-774512 K2AlMo3(P2O7)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756551 ZnCr(GeO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1210136 Co7Te4(BrO2)6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-765981 Ho2VPO8 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-770950 Na2ErPWO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1290831 CaNiO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-754228 Ca2CrH2I2O11 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-24597 LiFePO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1205508 U7V5Ag3O35 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1177902 Ni3H12C10NO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-16994 LiSm(WO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-777691 Li3V4O11F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1176709 TbCu(WO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-758801 Li2Si4Ni5O14 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-18991 Li4Mn3O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-777427 Li2Cr3O10 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-777599 VO2F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-17264 MgV(GeO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-780869 Ti3Fe2(BiO3)6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-541190 Li4Ti3Cr2Co3O16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19131 Li7Mn2(CoO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-557931 UTl2(MoO5)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1218406 Ba3Sm2WO9 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1203349 Li2VO2F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18958 Cd(FeO2)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1111053 CaMn3O4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1211854 Mg2V2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19450 MnNb8(FeO8)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753624 VPO4F Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-684742 RbIn(MoO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-766701 Mg30CoSiO32 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1105560 LiCoBO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-757910 Li3MnCoO5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-21874 Sr2Ca49Mo12N56O3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-757323 MnAgF3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1111290 NaNiBO3 Prediction: 1 Actual: tensor([0], device='cuda:0') 
mp-1572819 K2RbTbV2O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1197854 CaCrH2O5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19231 Sm2WO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-21074 LiVF6 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mvc-2560 Li2VO2F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1174084 MgVO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-6043 Li2CoSiO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-644129 Li4TiCo3O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-756665 CaLa(CoO3)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1178001 K3MnCrO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-850394 Nd9Mn10O30 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-776652 Ca3FeRhO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-759546 Li2MnFe3O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-555993 Li4Fe(PO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1202611 MnH2Cl2O Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753773 Li5Fe8(BO3)8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756421 InCoO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-777834 BaMn4AlO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-760933 Li2V(OF)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-765735 LiVFe(P2O7)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1198174 V2Fe2Pb(O4F)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mvc-9616 Rb2CrO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1104323 LiFe4(BO3)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756125 RbVSeO5 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1210883 Li24Ti7Cr5O36 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-3743 Ti3NiBi2(PbO6)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1205381 LiCoPO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-752809 V2Zn2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755167 MnMoO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-771874 LiVCoO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755564 Li2NiP2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1213334 Li3FeO2F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-555908 K5NaFe2(CO2)12 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1207052 Li6NiO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1219215 Sr2La2MnZnO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1178280 Rb2NaMnO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-757441 Sr2V3BiO11 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1036184 Li2CoGeO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-760008 NiO Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-760911 Li2CoSnO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-558666 HfCrO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-2230 Mo4H8N2O13 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1210945 RbVSO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1204299 YCoO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1101586 RbV3Cd4O12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19484 CrPO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-555994 LiCrP2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1210392 Li5V3P8O29 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1191323 Ti4Fe2O Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-754683 FeOF Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-8371 Nd2WO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-754053 FeOF Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1175347 Li4MnCo2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-510020 NaMn2O4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1177945 NiH12SO9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-753376 CoAgO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1100976 Li3V3P8O29 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-4368 NaCo(PO3)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1220548 V8Ni2O15 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-765470 Co(GeO3)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-706518 Fe21Ni9O40 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1573242 SrCaNbCrO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-752846 VCl3O Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-647385 FeP2WO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-754851 Li3VO3F2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-3090 Li5Mn4(P2O7)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1175580 Li24Ti5Cr7O36 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1204913 SmCu(WO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19499 Li3Fe8(BO3)8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-558147 ErSbMo2O9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18767 Li2Ti3NiO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1133299 UV2O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-780528 Li3Mn2Fe(BO3)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755934 RbFeO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-756450 Li2FeO2F Prediction: 0 Actual: tensor([1], device='cuda:0') 
mp-755733 Ba2V(PO5)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-754639 VF5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-510607 Li4Mn3SbO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-773517 CsV3(SeO6)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1178826 Ca4Al6MoO16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-754259 CrHg(PbO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1214680 CrHg3(PbO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-505766 VH10S2(NO4)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1177217 LiV2(PO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-32310 Li7MnO5F Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-704101 Li2FeSn(PO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1221655 Mo3P2PbO14 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-504704 VPO5 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-774826 NdV2IO9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1176842 Ba2Mn2CuF14 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-546007 CrOF4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-677149 Pr2(MoO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1178238 Na5CoO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-705362 Sr4Al6CrO16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1200173 CsVWO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19422 Li2VO2F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1214443 Li2FeSnO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-767644 LiV(PO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-766050 Li4V3P8O29 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1212793 Mn3Fe2Sn(PO4)6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-28890 MoO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1205736 Li3Fe8(BO3)8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-696335 NiH5CN(ClO)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-778201 FeHO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-752828 Be(CoO2)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-780710 GaCu(WO4)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-19116 NaVSiO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1182617 LiMnPO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-752758 ThTe2MoO9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1223180 VAgOF4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-559606 TiVO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-27186 VH8N2O5F Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-756572 Li2Mn2P2(H4O5)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1208672 SrCo(GeO3)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-781507 RbV(IO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1317472 NaCoO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-772668 Na5Cr2As(CO4)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1227779 CoSe2O5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19137 Na6Mn2V4O15 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-758354 CoH2Cl2O Prediction: 1 Actual: tensor([1], device='cuda:0') 
