mp-1178577 Li6CrO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-757828 BaTe2Mo2(HO6)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-867986 K5In(MoO4)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-630867 CaFe2Sb2(PO4)6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1102997 Li3MnCr4O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-27966 Li5Mn17(SiO16)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753996 VOF3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-766050 CsNiO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-780325 CrPO5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-752900 Rb2U(MoO5)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-540767 Li3V3P8O29 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-19275 V2NO5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-756985 Rb3ErV2O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-770152 TaVO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-764593 Li2CoNi3O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1195137 PrTl(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-558021 Ni5(PO4)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-772276 CsMn2V2ClO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-777488 Cr(CO)6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-625407 NaMnO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-772626 V2OF5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1209095 Li3Fe2(PO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-754006 CaMn2O4 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-972384 TbWClO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-998762 LiEr(WO4)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1316892 Li3FeF6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-775770 Ba3MgTiWO9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1221715 LiCoP2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-754400 NaAl6Fe3Si6B3H3O30F Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1079859 MnTeMoO6 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-559085 CrAgO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-752917 Dy2MoO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-759703 K4Mg(MoO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-754098 LiVO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1216763 LiMn2F7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1227483 Tm6WO12 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-772183 LiFe3(SiO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1232310 LiV(PO4)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-554745 K2U2MoO10 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1003735 NaCa2V3Zn2O12 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1220215 Tm2Mn3Sb3O14 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19276 Li15V6(P8O29)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1213193 Li2Fe2SiO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-636519 Cr4Si2Cl2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-558835 MoH8S2(NO)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-653788 VHO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-20168 NiSO4 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mvc-12912 Li2Mn2Fe(PO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19374 Cr2PO5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-8469 K5V9H20PtO37 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755563 TiVO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1100677 Cs3Li2Fe(MoO4)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1570361 Li2MnP2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-770883 LiFe5O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-771340 Ag6Mo10O33 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-757988 AlV(WO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-755332 VBiPbO5 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1196049 FeB6(CO)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-557093 Li2NiSnO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1104357 MgCo(Si2O5)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-770895 Na3MnAsCO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-794 Rb2BiMoPO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-761563 Li4Mn8O9F7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-771882 BaV2(NiO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755942 LiMn2O4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-558201 K2Na4Co2O5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1105866 TbTl(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1210978 LiVTeO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753321 Na3Li(MoO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-559672 Ca5V3O12F Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1210635 VH9(NF)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1100926 V2Te2O9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1222932 Tm2WO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1198801 Na3CoO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1661854 Li2Ni(CO3)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1080243 CoSeO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1114699 LiMn2(PO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1211821 Li2V3CuO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1222672 LiMn4(PO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1190820 LiSm(WO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-764789 Mo2P2O11 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1100502 Li4Cr2(PO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753525 YMoClO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-754295 MgFeP2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1279062 RbBi(MoO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1247690 Li2Cr4O13 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-550622 Li3V3P8O29 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-20589 Mn12O7F17 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1303642 Li9Mn2Co5O16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1178549 YbMn2O5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-761932 BaMo2P3O14 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1204008 NaMnVO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1201209 Mn3Nb6O11 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-559975 ZnFe(GeO3)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-556759 CoO Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1178192 MnSbO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-704604 Na3CrP8O23 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18741 MgMn2O4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1211000 Li4Fe(PO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-560734 Li2MnVP2(O4F)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753567 Li2TiNiO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1660343 RbSm(WO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-771173 NiB4O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1316468 Na3VAsCO7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-18951 Sr2FeClO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-17901 YbWBrO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-761111 LiY(MoO4)2 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-772318 CoN6(ClO)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1079272 SrLaMnO4F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-5516 Li6NbFe5O12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-10181 Ca3Co2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-779269 K4CrO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-540582 Fe5(O4F)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-764668 CoAgO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-757804 Ba2Ti4Cr2O13 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1217380 SrMnO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-555908 Li4CrFe2Ni3(PO4)6 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1209280 MnTe(PbO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-555287 K8V2(S2O9)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1079680 Li3MnSi2O7 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1176868 PrFeAsO Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-18527 LiCoPO4 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-1209544 NaMn2P2O9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-775327 Li4Mn3Fe(BO3)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1228414 VIn(SeO4)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mvc-13255 Li2Cr2FeO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-765488 La2MgMnO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1641248 Li2FeP2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-753263 RbNa2Fe3P4ClO14 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-699558 Mg2TiWO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1176798 CoTe(PbO3)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-554228 Li4Ti3Ni3(TeO8)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-693600 LiMnSbO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-705014 SrNdMn2O6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-772225 Li3V3P8O29 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19438 Li2V(CO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1211092 Ni(XeF7)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-556313 LiCoP2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-505245 Li3SiNiO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1661813 Li2Cr3O6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1037121 Li2VSiO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1182678 VOF2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-771027 Na9Li7V16O48 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-780733 BaDyFe4O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-23973 Li2MnOF3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-556093 FeOF Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-759584 Li9Mn2Co5O16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756303 CoH15Br2(N3O)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-690568 KTaV2O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1181165 HoCu(WO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-25571 Ba4CaMn2MoO12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-18835 NaBi(MoO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1209123 LiMnNbO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1178771 Li2TiMn2NiO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1272524 ZnCrO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-752774 Na2MnCSO7 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-757121 Li2MnCSO7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-8260 MnHO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-867515 Cs2MnV2(ClO3)2 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-767576 YCu(WO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-760189 La3FeW(SO2)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755896 FeOF Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1643720 CaLaMnNbO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-757644 MnH2SO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-31729 Mn(HO)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-19013 MnO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756679 FeH10S2(NO2)4 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1199096 MoWO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-636950 KNiPH2O5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-782643 CrAgO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-23642 K2Mo4O13 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-33300 Li2CoSiO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-505168 LiFe4(PO4)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1177180 Ca(CoO2)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756037 Na6CoO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755528 Li3VO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-694547 FeSi2C4(Cl3O2)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-631350 AgMoAsO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-555540 Li2Zn2(MoO4)3 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1247725 LiV(SO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-742801 Tb2Mo4O15 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-42264 MgU(MoO4)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-849609 NaFeH4SO6F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-548231 CaVO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1227783 Li7Eu3(MoO4)8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-642938 V6O5F19 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-768606 LiFeCoO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1282740 Ba2ScV3O11 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-706271 LaCrSe2O Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-26400 Dy2WO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1646508 Li4NiOF4 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1214987 Li9Mn2Co5O16 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-753361 Cs6Fe2O5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-31760 MoH8(NO2)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-774815 Li9Mn2Co5O16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1178210 NaVO2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-752825 Co3TeO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-780882 TiFeO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-765753 VZnSiO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755285 Ga2WO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1193081 Mn12O5F19 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1104220 TiMn(PO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1147749 Mn(FeO2)2 Prediction: 1 Actual: tensor([0], device='cuda:0') 
mp-744672 RbFe(SeO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-555873 Er2Mn2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-771887 CoH18C4N7O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1175500 Na2FePCO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-759219 Li2Fe2(CO3)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1187773 Li2Fe(WO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1213660 BaCr2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1099664 VSO4F3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-510568 SrFe2(PO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1289268 V6O7F5 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-553996 MnH2SeO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1214088 Li2VBPO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1218211 NiH5CN(ClO)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753659 LiCr(SiO3)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-768474 MgMn2O4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-778667 Mg4Cr5(TeO6)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1177850 KCrIO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1662148 Li3V3P8O29 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-554381 Li4Fe3(OF3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-780148 CrF5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-753362 Ti3Nb2V3O16 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-755479 LiMn8O16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-759595 Sr2Fe2Se2OF2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-768575 LiVP2O7 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-766032 Sr2MnCu2(SO)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-755365 CrPO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-774250 CsUVO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1200365 K2MoS3O Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-744567 Na2NiH6C4N4O3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1218693 VO2F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18487 Rb2TlCoF6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-625532 VGeO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-758354 Li6Co(SiO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-39208 Nd3Fe5O12 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-625744 Li2CoO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-771385 Ba3MnNb2O9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-770872 VO2F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1209465 Sr7Mn4O15 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1211194 Li4Ti3Fe2Co3O16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-775950 LiV3O8 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-641191 Co2(SO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-758452 CsTm(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1216798 NbFeO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-559606 CaCrO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1186345 LiMn2(BO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1281224 Li3Mn4SnO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-12561 Li5Fe2P2(CO7)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1211126 CoAg(CO)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1174640 Na6MnO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1302887 Li9Mn2Co5O16 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1272167 Sr5V3HO13 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-504864 La2MoO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-559004 KNiAsO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1204373 KCr2FeO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-561519 K3FeF6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-863360 Mg30CoSnO32 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1228694 TbAg(WO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1222548 CaFe2O5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1261316 LiFeSiO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1198186 FeBiO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-759091 La2MoO6 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-5802 MnOF Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756107 Fe(PO3)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1175550 Mg2V2(SiO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-18398 V3H6CNO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-650024 Cs2KCrF6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-31372 FeOF Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-649492 LiCoB2O5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-735523 RbCrClO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-554998 Co(PtO2)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19215 LiGa(WO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-772627 Li2VF7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-14150 Y2CrSbO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-775928 MgFe2O3 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-618807 Na6Mn2V4O15 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-20239 Li4Ni3SbO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1191060 Sr10Mg5Mo2(WO10)3 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-18086 Ba2DyV3O11 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1204913 MgNi(GeO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-8334 LiTiV3O10 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1221959 Li3NiPCO7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-754683 Li7Mn4CoO12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756839 LiNiBO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1227869 Na3FeAsCO7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-780295 Ba3Ta6Fe2O21 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-756211 KV3(SeO6)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-18992 Al2NiO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-3272 VSiP2O9 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-760128 Li4Mn3Fe(BO3)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-21355 Li6Fe9CoO20 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1076863 VReO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-765219 LiVPO5 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1193798 V2Pb14Cl4O17 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1221952 Rb7U8V2ClO32 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-554705 CdMoO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-18809 BaV2CdO7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-756667 MnO Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1193007 Li4MnCo3O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1105485 Ca3MnO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1206498 Li3VCr2O6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753531 VCd2PO7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-557934 Rb4MgFe8H6(Se8O25)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1217035 Li5Mn2Fe3O10 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-771314 CrH12C2(N3O2)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-555913 LiNiP2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-20794 Mn8O13F3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-761801 Ca2TaCrO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-759794 KSm(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-772934 KV(SO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-11086 V3Pb5ClO12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-863375 Ti3NbCo2(PO4)6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
